"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization","Average Volume (10 Day)"
"AMBP","Ardagh Metal Packaging SA","$4.86","Yes","0.54","$3B (Small)","1,282,870"
"AUR","Aurora Innovation Inc","$4.48","Yes","2.47","$9B (Mid)","16,971,550"
"BBD","Banco Bradesco SA","$3.98","Yes","0.51","$21B (Mid)","46,102,610"
"CCC","CCC Intelligent Solutions Holdings Inc","$4.94","Yes","0.77","$3B (Small)","21,517,920"
"CIG","Energy of Minas Gerais Co","$2.22","Yes","0.91","$4B (Small)","6,968,340"
"COTY","Coty Inc","$2.51","Yes","0.96","$2B (Small)","14,444,230"
"DNN","Denison Mines Corp","$3.78","Yes","1.20","$3B (Small)","50,691,190"
"ENIC","Enel Chile SA","$4.22","Yes","0.95","$6B (Small)","673,050"
"GGB","Gerdau SA","$4.12","Yes","1.42","$5B (Small)","33,059,200"
"GRAB","Grab Holdings Ltd","$4.13","Yes","0.92","$17B (Mid)","55,805,920"
"LPL","LG Display Co Ltd","$4.00","Yes","1.51","$4B (Small)","860,390"
"LU","Lufax Holding Ltd","$2.69","Yes","0.53","$2B (Small)","1,657,970"
"NIO","NIO Inc","$4.95","Yes","1.10","$12B (Mid)","56,716,120"
"OPEN","Opendoor Technologies Inc","$4.45","Yes","3.71","$4B (Small)","50,708,430"
"PLUG","Plug Power Inc","$1.82","Yes","1.92","$3B (Small)","103,049,730"
"RLX","RLX Technology Inc","$2.35","Yes","1.10","$3B (Small)","2,594,960"
"SID","Companhia Siderurgica Nacional SA","$1.69","Yes","1.63","$2B (Small)","5,267,790"
"SNAP","Snap Inc","$4.83","Yes","0.86","$8B (Mid)","88,276,140"
"TELFY","Telefonica SA","$4.33","Yes","0.30","$24B (Mid)","437,440"
"UWMC","UWM Holdings Corp","$4.89","Yes","1.93","$8B (Mid)","22,328,930"
"VFS","VinFast Auto Ltd","$3.29","Yes","1.12","$8B (Mid)","344,360"
"WIT","Wipro Ltd","$2.34","Yes","1.07","$25B (Mid)","13,532,050"
