Symbol,Description,Price,Market Capitalization,Optionable Stocks,Average Volume (10 Day),Beta
A,Agilent Technologies Inc,$125.81,$36B (Mid),Yes,"2,071,010",1.31
AAON,Aaon Inc,$101.04,$8B (Mid),Yes,"1,020,380",1.08
AAPL,Apple Inc,$255.78,$4T (Large),Yes,"60,058,410",1.11
ABBV,AbbVie Inc,$231.50,$409B (Large),Yes,"8,360,160",0.33
ABG,Asbury Automotive Group Inc,$229.44,$4B (Small),Yes,"302,410",0.8
ABNB,Airbnb Inc,$121.35,$74B (Large),Yes,"6,229,230",1.15
ABT,Abbott Laboratories,$112.68,$196B (Large),Yes,"11,350,840",0.74
ACN,Accenture PLC,$224.23,$138B (Large),Yes,"6,520,010",1.26
ADBE,Adobe Inc,$263.97,$108B (Large),Yes,"6,927,960",1.53
ADI,Analog Devices Inc,$337.10,$165B (Large),Yes,"4,594,570",1.01
ADP,Automatic Data Processing Inc,$212.11,$85B (Large),Yes,"4,075,370",0.88
ADSK,Autodesk Inc,$231.22,$49B (Large),Yes,"2,808,310",1.46
ADUS,Addus Homecare Corp,$113.80,$2B (Micro),Yes,"255,720",0.89
AEE,Ameren Corp,$110.97,$31B (Mid),Yes,"2,338,220",0.57
AEIS,Advanced Energy Industries Inc,$314.27,$12B (Mid),Yes,"842,540",1.35
AEM,Agnico Eagle Mines Ltd,$216.59,$109B (Large),Yes,"2,989,810",0.63
AEP,American Electric Power Company Inc,$129.94,$70B (Large),Yes,"3,916,060",0.6
AER,AerCap Holdings NV,$150.43,$25B (Mid),Yes,"1,647,940",1.01
AFG,American Financial Group Inc,$128.95,$11B (Mid),Yes,"731,650",0.7
AFL,Aflac Inc,$114.91,$60B (Large),Yes,"2,644,580",0.65
AGCO,AGCO Corp,$140.49,$10B (Mid),Yes,"1,118,290",1.11
AGX,Argan Inc,$409.95,$6B (Small),Yes,"501,860",0.58
AIR,AAR Corp,$112.98,$4B (Small),Yes,"445,200",1.2
AIT,Applied Industrial Technologies Inc,$279.84,$10B (Mid),Yes,"451,960",0.81
AIZ,Assurant Inc,$217.48,$11B (Mid),Yes,"594,670",0.59
AJG,Arthur J. Gallagher & Co.,$208.45,$54B (Large),Yes,"3,449,750",0.7
AKAM,Akamai Technologies Inc,$111.76,$16B (Mid),Yes,"4,310,680",0.69
ALB,Albemarle Corp,$166.35,$20B (Mid),Yes,"3,027,950",1.45
ALGN,Align Technology Inc,$186.77,$13B (Mid),Yes,"1,841,110",1.79
ALGT,Allegiant Travel Co,$111.30,$2B (Micro),Yes,"789,770",1.51
ALL,Allstate Corp,$207.51,$54B (Large),Yes,"2,022,770",0.23
ALLE,Allegion PLC,$179.50,$15B (Mid),Yes,"851,030",1.01
ALNY,Alnylam Pharmaceuticals Inc,$314.40,$42B (Large),Yes,"1,915,540",0.37
ALSN,Allison Transmission Holdings Inc,$117.79,$10B (Mid),Yes,"874,460",0.96
ALV,Autoliv Inc,$124.98,$9B (Mid),Yes,"757,220",1.32
AMAT,Applied Materials Inc,$354.91,$282B (Large),Yes,"9,656,090",1.65
AMD,Advanced Micro Devices Inc,$207.32,$338B (Large),Yes,"46,910,650",1.97
AME,AMETEK Inc,$229.76,$53B (Large),Yes,"1,700,460",1.03
AMG,Affiliated Managers Group Inc,$329.79,$9B (Mid),Yes,"517,960",1.16
AMGN,Amgen Inc,$369.19,$199B (Large),Yes,"3,367,250",0.45
AMP,Ameriprise Financial Inc,$473.67,$43B (Large),Yes,"933,190",1.27
AMR,Alpha Metallurgical Resources Inc,$185.52,$2B (Small),Yes,"269,930",0.78
