"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization","Average Volume (10 Day)"
"AA","Alcoa Corp","$59.95","Yes","1.85","$16B (Mid)","8,103,430"
"AAL","American Airlines Group Inc","$13.88","Yes","1.21","$9B (Mid)","46,457,420"
"AAOI","Applied Optoelectronics Inc","$44.46","Yes","3.34","$3B (Small)","6,106,730"
"AAP","Advance Auto Parts Inc","$58.85","Yes","1.11","$4B (Small)","2,182,750"
"AB","AllianceBernstein Holding LP","$40.84","Yes","0.86","$4B (Small)","694,490"
"ABCB","Ameris Bancorp","$84.02","Yes","0.97","$6B (Small)","608,590"
"ABM","ABM Industries Inc","$44.51","Yes","0.73","$3B (Small)","510,070"
"ACAD","ACADIA Pharmaceuticals Inc","$22.03","Yes","0.69","$4B (Small)","1,444,600"
"ACHR","Archer Aviation Inc","$6.77","Yes","3.11","$4B (Small)","36,064,110"
"ACI","Albertsons Companies Inc","$18.57","Yes","0.47","$10B (Mid)","6,484,880"
"ACIW","ACI Worldwide Inc","$39.56","Yes","1.07","$4B (Small)","1,062,710"
"ACLX","Arcellx Inc","$68.50","Yes","0.36","$4B (Small)","719,900"
"ACM","AECOM","$88.31","Yes","1.08","$11B (Mid)","2,098,570"
"ACMR","ACM Research Inc","$64.84","Yes","1.45","$4B (Small)","1,982,100"
"ACT","Enact Holdings Inc","$43.29","Yes","0.52","$6B (Small)","423,790"
"ADC","Agree Realty Corp","$78.08","Yes","0.52","$9B (Mid)","1,488,570"
"ADM","Archer-Daniels-Midland Co","$69.51","Yes","0.67","$33B (Mid)","4,669,810"
"ADMA","ADMA Biologics Inc","$16.09","Yes","0.51","$4B (Small)","1,898,140"
"ADPT","Adaptive Biotechnologies Corp","$16.04","Yes","2.21","$2B (Small)","2,240,700"
"ADT","ADT Inc","$7.74","Yes","1.02","$6B (Small)","23,809,780"
"AEG","Aegon Ltd","$7.58","Yes","0.79","$12B (Mid)","5,871,350"
"AEO","American Eagle Outfitters Inc","$25.48","Yes","1.37","$4B (Small)","4,668,270"
"AES","AES Corp","$16.28","Yes","0.94","$12B (Mid)","11,017,110"
"AFRM","Affirm Holdings Inc","$49.81","Yes","3.61","$17B (Mid)","9,905,980"
"AGNC","AGNC Investment Corp","$11.36","Yes","1.35","$13B (Mid)","22,622,340"
"AGO","Assured Guaranty Ltd","$86.34","Yes","0.90","$4B (Small)","257,890"
"AGYS","Agilysys Inc","$81.50","Yes","0.35","$2B (Small)","413,290"
"AIG","American International Group Inc","$78.27","Yes","0.59","$42B (Large)","4,383,270"
"AKR","Acadia Realty Trust","$20.59","Yes","1.11","$3B (Small)","1,237,150"
"AL","Air Lease Corp","$64.73","Yes","1.12","$7B (Small)","1,764,810"
"ALGM","Allegro Microsystems Inc","$42.38","Yes","1.60","$8B (Mid)","3,188,740"
