"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization"
"AA","Alcoa Corp","$59.95","Yes","1.85","$16B (Mid)"
"AAL","American Airlines Group Inc","$13.88","Yes","1.21","$9B (Mid)"
"AAOI","Applied Optoelectronics Inc","$44.46","Yes","3.34","$3B (Small)"
"AAP","Advance Auto Parts Inc","$58.85","Yes","1.11","$4B (Small)"
"AB","AllianceBernstein Holding LP","$40.84","Yes","0.86","$4B (Small)"
"ABCB","Ameris Bancorp","$84.02","Yes","0.97","$6B (Small)"
"ABM","ABM Industries Inc","$44.51","Yes","0.73","$3B (Small)"
"ACAD","ACADIA Pharmaceuticals Inc","$22.03","Yes","0.69","$4B (Small)"
"ACHR","Archer Aviation Inc","$6.77","Yes","3.11","$4B (Small)"
"ACI","Albertsons Companies Inc","$18.57","Yes","0.47","$10B (Mid)"
"ACIW","ACI Worldwide Inc","$39.56","Yes","1.07","$4B (Small)"
"ACLX","Arcellx Inc","$68.50","Yes","0.36","$4B (Small)"
"ACM","AECOM","$88.31","Yes","1.08","$11B (Mid)"
"ACMR","ACM Research Inc","$64.84","Yes","1.45","$4B (Small)"
"ACT","Enact Holdings Inc","$43.29","Yes","0.52","$6B (Small)"
"AD","Array Digital Infrastructure Inc","$50.88","Yes","0.17","$4B (Small)"
"ADC","Agree Realty Corp","$78.08","Yes","0.52","$9B (Mid)"
"ADM","Archer-Daniels-Midland Co","$69.51","Yes","0.67","$33B (Mid)"
"ADMA","ADMA Biologics Inc","$16.09","Yes","0.51","$4B (Small)"
"ADPT","Adaptive Biotechnologies Corp","$16.04","Yes","2.21","$2B (Small)"
"ADT","ADT Inc","$7.74","Yes","1.02","$6B (Small)"
"AEG","Aegon Ltd","$7.58","Yes","0.79","$12B (Mid)"
"AEO","American Eagle Outfitters Inc","$25.48","Yes","1.37","$4B (Small)"
"AES","AES Corp","$16.28","Yes","0.94","$12B (Mid)"
"AFRM","Affirm Holdings Inc","$49.81","Yes","3.61","$17B (Mid)"
"AGNC","AGNC Investment Corp","$11.36","Yes","1.35","$13B (Mid)"
"AGO","Assured Guaranty Ltd","$86.34","Yes","0.90","$4B (Small)"
"AGYS","Agilysys Inc","$81.50","Yes","0.35","$2B (Small)"
"AIG","American International Group Inc","$78.27","Yes","0.59","$42B (Large)"
"AKR","Acadia Realty Trust","$20.59","Yes","1.11","$3B (Small)"
"AL","Air Lease Corp","$64.73","Yes","1.12","$7B (Small)"
"ALGM","Allegro Microsystems Inc","$42.38","Yes","1.60","$8B (Mid)"
"ALHC","Alignment Healthcare Inc","$20.19","Yes","1.19","$4B (Small)"
"ALK","Alaska Air Group Inc","$55.27","Yes","1.14","$6B (Small)"
"ALKS","Alkermes Plc","$33.16","Yes","0.46","$5B (Small)"
"ALRM","Alarm.com Holdings Inc","$46.38","Yes","0.81","$2B (Small)"
"AM","Antero Midstream Corp","$21.45","Yes","0.75","$10B (Mid)"
"AMBA","Ambarella Inc","$66.21","Yes","1.92","$3B (Small)"
"AMCR","Amcor PLC","$50.09","Yes","0.63","$23B (Mid)"
"AMH","American Homes 4 Rent","$31.62","Yes","0.80","$12B (Mid)"
"AMKR","Amkor Technology Inc","$47.48","Yes","1.92","$12B (Mid)"
"AMRX","Amneal Pharmaceuticals Inc","$14.82","Yes","1.33","$5B (Small)"
"AMX","America Movil SAB de CV","$23.83","Yes","0.74","$72B (Large)"
"ANDE","Andersons Inc","$69.03","Yes","0.75","$2B (Small)"
"AOS","A O Smith Corp","$80.46","Yes","1.32","$11B (Mid)"
"APA","APA Corp (US)","$27.92","Yes","0.69","$10B (Mid)"
"APAM","Artisan Partners Asset Management Inc","$42.59","Yes","1.74","$3B (Small)"
"APG","APi Group Corp","$44.41","Yes","1.69","$19B (Mid)"
"APLD","Applied Digital Corp","$35.28","Yes","7.17","$10B (Mid)"
"APLE","Apple Hospitality REIT Inc","$12.27","Yes","0.81","$3B (Small)"
"APLS","Apellis Pharmaceuticals Inc","$21.70","Yes","0.25","$3B (Small)"
"APTV","Aptiv PLC","$85.20","Yes","1.47","$18B (Mid)"
"AR","Antero Resources Corp","$34.76","Yes","0.54","$11B (Mid)"
"ARCC","Ares Capital Corp","$19.37","Yes","0.62","$14B (Mid)"
"ARE","Alexandria Real Estate Equities Inc","$52.49","Yes","1.33","$9B (Mid)"
"ARLP","Alliance Resource Partners LP","$25.82","Yes","0.28","$3B (Small)"
"ARMK","Aramark","$38.98","Yes","1.07","$10B (Mid)"
"AROC","Archrock Inc","$32.66","Yes","0.89","$6B (Small)"
"ARQT","Arcutis Biotherapeutics Inc","$25.86","Yes","1.68","$3B (Small)"
"ARWR","Arrowhead Pharmaceuticals Inc","$63.82","Yes","1.24","$9B (Mid)"
"ASB","Associated Banc-Corp","$27.85","Yes","0.79","$5B (Small)"
"ASH","Ashland Inc","$60.93","Yes","0.42","$3B (Small)"
"ASO","Academy Sports and Outdoors Inc","$58.56","Yes","1.23","$4B (Small)"
"ASTS","AST SpaceMobile Inc","$82.51","Yes","2.78","$30B (Mid)"
"ASX","ASE Technology Holding Co Ltd","$23.40","Yes","1.43","$52B (Large)"
"ATHM","Autohome Inc","$21.00","Yes","0.10","$2B (Small)"
"ATKR","Atkore Inc","$66.66","Yes","1.54","$2B (Small)"
"ATRO","Astronics Corp","$76.94","Yes","1.07","$2B (Small)"
