"Symbol","Description","Price","Exchange","Optionable Stocks","Average Volume (10 Day)"
"A","Agilent Technologies Inc","$137.93","NYS","Yes","2,054,200"
"AA","Alcoa Corp","$53.77","NYS","Yes","5,174,140"
"AAOI","Applied Optoelectronics Inc","$36.75","NASDAQ","Yes","5,060,710"
"AAP","Advance Auto Parts Inc","$39.87","NYS","Yes","2,139,550"
"AAPL","Apple Inc","$273.76","NASDAQ","Yes","46,382,060"
"ABBV","AbbVie Inc","$230.84","NYS","Yes","5,693,350"
"ABM","ABM Industries Inc","$42.90","NYS","Yes","1,236,660"
"ABNB","Airbnb Inc","$136.62","NASDAQ","Yes","4,589,550"
"ABT","Abbott Laboratories","$124.57","NYS","Yes","6,303,180"
"ACAD","ACADIA Pharmaceuticals Inc","$27.26","NASDAQ","Yes","1,379,750"
"ACGL","Arch Capital Group Ltd","$96.39","NASDAQ","Yes","2,414,660"
"ACLX","Arcellx Inc","$65.13","NASDAQ","Yes","1,015,330"
"ACM","AECOM","$97.27","NYS","Yes","1,470,120"
"ACMR","ACM Research Inc","$39.97","NASDAQ","Yes","1,165,120"
"ACN","Accenture PLC","$271.34","NYS","Yes","4,154,830"
"ADBE","Adobe Inc","$353.16","NASDAQ","Yes","3,745,790"
"ADC","Agree Realty Corp","$72.56","NYS","Yes","1,305,600"
"ADI","Analog Devices Inc","$275.63","NASDAQ","Yes","3,426,600"
"ADM","Archer-Daniels-Midland Co","$58.22","NYS","Yes","2,820,230"
"ADP","Automatic Data Processing Inc","$259.61","NASDAQ","Yes","2,771,330"
"ADSK","Autodesk Inc","$301.23","NASDAQ","Yes","1,438,400"
"AEE","Ameren Corp","$100.26","NYS","Yes","2,197,310"
"AEM","Agnico Eagle Mines Ltd","$171.34","NYS","Yes","2,801,710"
"AEO","American Eagle Outfitters Inc","$26.93","NYS","Yes","7,737,440"
"AEP","American Electric Power Company Inc","$115.77","NASDAQ","Yes","3,239,920"
"AER","AerCap Holdings NV","$143.95","NYS","Yes","1,081,360"
"AFL","Aflac Inc","$109.96","NYS","Yes","2,901,400"
"AFRM","Affirm Holdings Inc","$75.51","NASDAQ","Yes","5,186,890"
"AGIO","Agios Pharmaceuticals Inc","$27.16","NASDAQ","Yes","2,110,290"
"AHR","American Healthcare REIT Inc","$48.30","NYS","Yes","2,005,720"
"AIG","American International Group Inc","$86.48","NYS","Yes","4,556,950"
"AJG","Arthur J. Gallagher & Co.","$263.14","NYS","Yes","1,679,270"
"AKAM","Akamai Technologies Inc","$88.24","NASDAQ","Yes","2,261,510"
"AL","Air Lease Corp","$64.10","NYS","Yes","1,444,920"
"ALAB","Astera Labs Inc","$170.11","NASDAQ","Yes","3,920,870"
"ALB","Albemarle Corp","$144.58","NYS","Yes","2,852,390"
"ALGM","Allegro Microsystems Inc","$26.53","NASDAQ","Yes","2,297,510"
"ALGN","Align Technology Inc","$157.84","NASDAQ","Yes","1,113,370"
"ALK","Alaska Air Group Inc","$50.29","NYS","Yes","2,350,910"
"ALKS","Alkermes Plc","$28.01","NASDAQ","Yes","1,637,160"
"ALL","Allstate Corp","$208.66","NYS","Yes","1,649,820"
"ALNY","Alnylam Pharmaceuticals Inc","$398.82","NASDAQ","Yes","2,145,510"
"AMAT","Applied Materials Inc","$263.05","NASDAQ","Yes","6,830,270"
"AMD","Advanced Micro Devices Inc","$215.61","NASDAQ","Yes","25,975,000"
"AME","AMETEK Inc","$208.69","NYS","Yes","1,515,680"
"AMGN","Amgen Inc","$329.63","NASDAQ","Yes","3,310,550"
"AMH","American Homes 4 Rent","$32.08","NYS","Yes","2,747,240"
"AMKR","Amkor Technology Inc","$40.09","NASDAQ","Yes","2,736,770"
"AMRZ","Amrize AG","$55.19","NYS","Yes","2,920,590"
"AMT","American Tower Corp","$175.83","NYS","Yes","3,448,100"
"AMTM","Amentum Holdings Inc","$29.20","NYS","Yes","1,635,420"
"AMZN","Amazon.com Inc","$232.07","NASDAQ","Yes","37,514,090"
"ANET","Arista Networks Inc","$134.15","NYS","Yes","5,849,740"
"ANF","Abercrombie & Fitch Co","$129.76","NYS","Yes","2,093,530"
"AOS","A O Smith Corp","$68.08","NYS","Yes","1,059,670"
"APD","Air Products and Chemicals Inc","$247.85","NYS","Yes","1,785,430"
"APG","APi Group Corp","$39.20","NYS","Yes","1,782,910"
"APGE","Apogee Therapeutics Inc","$76.38","NASDAQ","Yes","1,013,320"
"APH","Amphenol Corp","$136.90","NYS","Yes","7,290,170"
"APLS","Apellis Pharmaceuticals Inc","$25.17","NASDAQ","Yes","2,496,720"
"APO","Apollo Global Management Inc","$147.27","NYS","Yes","2,461,950"
"APP","Applovin Corp","$698.82","NASDAQ","Yes","3,279,610"
"APTV","Aptiv PLC","$76.79","NYS","Yes","2,179,710"
"AR","Antero Resources Corp","$34.61","NYS","Yes","3,971,570"
"ARE","Alexandria Real Estate Equities Inc","$49.17","NYS","Yes","2,729,310"
"ARES","Ares Management Corp","$169.05","NYS","Yes","2,337,140"
"ARM","Arm Holdings PLC","$110.51","NASDAQ","Yes","5,822,180"
"ARMK","Aramark","$37.36","NYS","Yes","1,782,370"
"AROC","Archrock Inc","$25.95","NYS","Yes","1,563,760"
"ARQT","Arcutis Biotherapeutics Inc","$28.56","NASDAQ","Yes","2,019,820"
"ARWR","Arrowhead Pharmaceuticals Inc","$69.62","NASDAQ","Yes","1,960,260"
"AS","Amer Sports Inc","$37.84","NYS","Yes","2,612,320"
"ASB","Associated Banc-Corp","$26.08","NYS","Yes","2,155,650"
"ASML","ASML Holding NV","$1,066.00","NASDAQ","Yes","1,061,180"
"ASO","Academy Sports and Outdoors Inc","$50.12","NASDAQ","Yes","1,677,290"
"ASTS","AST SpaceMobile Inc","$71.47","NASDAQ","Yes","17,003,280"
"ATI","ATI Inc","$116.63","NYS","Yes","1,297,200"
