Symbol,Description,Price,Exchange,Optionable Stocks,Average_Daily_Range
AAOI,Applied Optoelectronics Inc,36.75,NASDAQ,Yes,3.301499938964844
AAPL,Apple Inc,273.76,NASDAQ,Yes,3.5469940185546873
ABBV,AbbVie Inc,230.84,NYS,Yes,3.4964996337890626
ACN,Accenture PLC,271.34,NYS,Yes,5.385003662109375
ADBE,Adobe Inc,353.16,NASDAQ,Yes,6.5700927734375
ADI,Analog Devices Inc,275.63,NASDAQ,Yes,3.9780059814453126
ADP,Automatic Data Processing Inc,259.61,NASDAQ,Yes,3.561994934082031
ADSK,Autodesk Inc,301.23,NASDAQ,Yes,4.086004638671875
AEIS,Advanced Energy Industries Inc,217.26,NASDAQ,Yes,6.623500061035156
AEM,Agnico Eagle Mines Ltd,171.34,NYS,Yes,4.621502685546875
AFRM,Affirm Holdings Inc,75.51,NASDAQ,Yes,3.293901062011719
AGX,Argan Inc,320.73,NYS,Yes,14.30550537109375
AIT,Applied Industrial Technologies Inc,263.4,NYS,Yes,3.79625244140625
AIZ,Assurant Inc,241.44,NYS,Yes,3.805999755859375
AJG,Arthur J. Gallagher & Co.,263.14,NYS,Yes,4.1969970703125
ALAB,Astera Labs Inc,170.11,NASDAQ,Yes,9.150489807128906
ALB,Albemarle Corp,144.58,NYS,Yes,5.1901397705078125
ALGN,Align Technology Inc,157.84,NASDAQ,Yes,3.0300018310546877
ALGT,Allegiant Travel Co,84.65,NASDAQ,Yes,3.111370086669922
ALNY,Alnylam Pharmaceuticals Inc,398.82,NASDAQ,Yes,9.311996459960938
AMAT,Applied Materials Inc,263.05,NASDAQ,Yes,5.8364013671875
AMD,Advanced Micro Devices Inc,215.61,NASDAQ,Yes,6.319999694824219
AMG,Affiliated Managers Group Inc,292.08,NYS,Yes,6.241494750976562
AMGN,Amgen Inc,329.63,NASDAQ,Yes,4.81925048828125
AMP,Ameriprise Financial Inc,497.78,NYS,Yes,6.40250244140625
AMR,Alpha Metallurgical Resources Inc,205.4,NYS,Yes,8.718499755859375
AN,AutoNation Inc,210.54,NYS,Yes,5.233003234863281
ANET,Arista Networks Inc,134.15,NYS,Yes,3.5274009704589844
ANF,Abercrombie & Fitch Co,129.76,NYS,Yes,4.01099853515625
AON,Aon PLC,356.73,NYS,Yes,4.25899658203125
APD,Air Products and Chemicals Inc,247.85,NYS,Yes,4.31824951171875
APH,Amphenol Corp,136.9,NYS,Yes,3.121002960205078
APP,Applovin Corp,698.82,NASDAQ,Yes,24.244158935546874
ARES,Ares Management Corp,169.05,NYS,Yes,3.877001953125
ARGX,argenx SE,837.45,NASDAQ,Yes,13.061590576171875
ARM,Arm Holdings PLC,110.51,NASDAQ,Yes,3.6510009765625
ARWR,Arrowhead Pharmaceuticals Inc,69.62,NASDAQ,Yes,3.3460014343261717
ASML,ASML Holding NV,1066.0,NASDAQ,Yes,19.08154296875
ASND,Ascendis Pharma A/S,211.02,NASDAQ,Yes,7.03070068359375
ASTS,AST SpaceMobile Inc,71.47,NASDAQ,Yes,7.347198486328125
AVAV,AeroVironment Inc,249.15,NASDAQ,Yes,9.374105834960938
AVGO,Broadcom Inc,349.39,NASDAQ,Yes,10.172991943359374
AXON,Axon Enterprise Inc,580.55,NASDAQ,Yes,18.144287109375
AXP,American Express Co,375.32,NYS,Yes,5.225006103515625
AXSM,Axsome Therapeutics Inc,150.68,NASDAQ,Yes,3.9925018310546876
AYI,Acuity Inc,369.08,NYS,Yes,8.314999389648438
BA,Boeing Co,217.25,NYS,Yes,3.5989974975585937
BAP,Credicorp Ltd,291.05,NYS,Yes,5.417996215820312
