"Symbol","Description","Price","Average Volume (10 Day)","Optionable Stocks"
"AAL","American Airlines Group Inc","$13.88","46,457,420","Yes"
"AAT","American Assets Trust Inc","$18.56","571,740","Yes"
"ABR","Arbor Realty Trust Inc","$7.72","4,787,990","Yes"
"ABX","Abacus Global Management Inc","$8.40","572,480","Yes"
"ACAD","ACADIA Pharmaceuticals Inc","$22.03","1,444,600","Yes"
"ACDC","ProFrac Holding Corp","$5.47","1,161,860","Yes"
"ACEL","Accel Entertainment Inc","$10.83","329,550","Yes"
"ACHC","Acadia Healthcare Company Inc","$16.77","4,463,680","Yes"
"ACHR","Archer Aviation Inc","$6.77","36,064,110","Yes"
"ACI","Albertsons Companies Inc","$18.57","6,484,880","Yes"
"ACIC","American Coastal Insurance Corp","$11.07","268,400","Yes"
"ACRE","Ares Commercial Real Estate Corp","$5.17","785,050","Yes"
"ACVA","ACV Auctions Inc","$6.61","3,520,010","Yes"
"ADAM","Adamas Trust Inc","$8.16","585,830","Yes"
"ADEA","Adeia Inc","$18.80","806,770","Yes"
"ADMA","ADMA Biologics Inc","$16.09","1,898,140","Yes"
"ADPT","Adaptive Biotechnologies Corp","$16.04","2,240,700","Yes"
"ADT","ADT Inc","$7.74","23,809,780","Yes"
"ADTN","ADTRAN Holdings Inc","$10.13","1,134,220","Yes"
"AEG","Aegon Ltd","$7.58","5,871,350","Yes"
"AES","AES Corp","$16.28","11,017,110","Yes"
"AESI","Atlas Energy Solutions Inc","$11.77","1,971,190","Yes"
"AEVA","Aeva Technologies Inc","$13.58","2,267,390","Yes"
"AGNC","AGNC Investment Corp","$11.36","22,622,340","Yes"
"AGRO","Adecoagro SA","$8.65","450,990","Yes"
"AHCO","Adapthealth Corp","$10.09","975,020","Yes"
"AHH","Armada Hoffler Properties Inc","$6.89","757,160","Yes"
"AI","C3.ai Inc","$10.78","8,295,250","Yes"
"AIP","Arteris Inc","$14.62","442,790","Yes"
"AIRO","AIRO Group Holdings Inc","$9.20","426,500","Yes"
"AIV","Apartment Investment and Management Co","$5.82","1,768,050","Yes"
"AKR","Acadia Realty Trust","$20.59","1,237,150","Yes"
"ALDX","Aldeyra Therapeutics Inc","$5.25","710,480","Yes"
"ALEX","Alexander & Baldwin Inc (Hawaii)","$20.77","737,340","Yes"
"ALH","Alliance Laundry Holdings Inc","$23.38","602,950","Yes"
"ALHC","Alignment Healthcare Inc","$20.19","2,306,380","Yes"
"ALKT","Alkami Technology Inc","$16.27","2,149,480","Yes"
"ALLT","Allot Ltd","$10.26","361,870","Yes"
"ALMU","Aeluma Inc","$15.38","443,350","Yes"
"AM","Antero Midstream Corp","$21.45","3,506,720","Yes"
"AMCX","Amc Networks Inc (Nevada)","$7.55","580,880","Yes"
"AMLX","Amylyx Pharmaceuticals Inc","$14.12","992,290","Yes"
"AMN","AMN Healthcare Services Inc","$16.25","1,265,730","Yes"
"AMPL","Amplitude Inc","$6.21","2,539,090","Yes"
"AMPX","Amprius Technologies Inc","$9.97","9,603,360","Yes"
"AMPY","Amplify Energy Corp","$5.42","631,850","Yes"
"AMRX","Amneal Pharmaceuticals Inc","$14.82","2,332,530","Yes"
"AMTB","Amerant Bancorp Inc","$22.44","326,320","Yes"
"AMX","America Movil SAB de CV","$23.83","2,472,580","Yes"
"ANGI","Angi Inc","$8.10","1,479,340","Yes"
"ANGO","AngioDynamics Inc","$10.97","484,370","Yes"
"ANRO","Alto Neuroscience Inc","$16.89","254,980","Yes"
"AOSL","Alpha and Omega Semiconductor Ltd","$22.65","561,430","Yes"
"AP","Ampco-Pittsburgh Corp","$7.79","377,960","Yes"
"APLE","Apple Hospitality REIT Inc","$12.27","2,166,190","Yes"
"APLS","Apellis Pharmaceuticals Inc","$21.70","3,897,910","Yes"
"APPN","Appian Corp","$22.87","1,326,860","Yes"
"ARCC","Ares Capital Corp","$19.37","8,766,240","Yes"
"ARCO","Arcos Dorados Holdings Inc","$8.36","2,077,290","Yes"
"ARCT","Arcturus Therapeutics Holdings Inc","$7.21","460,120","Yes"
"ARDT","Ardent Health Inc","$9.60","464,890","Yes"
"ARDX","Ardelyx Inc","$6.87","3,091,760","Yes"
"ARHS","Arhaus Inc","$9.25","1,056,020","Yes"
"ARI","Apollo Commercial Real Estate Finance Inc","$10.62","1,504,000","Yes"
"ARKO","Arko Corp.","$6.14","552,990","Yes"
"ARLO","Arlo Technologies Inc","$11.42","1,585,020","Yes"
"ARQQ","Arqit Quantum Inc","$16.78","312,630","Yes"
"ARR","ARMOUR Residential REIT Inc","$18.30","3,757,580","Yes"
"ARRY","Array Technologies Inc","$11.16","4,966,070","Yes"
"ARVN","Arvinas Inc","$11.65","769,390","Yes"
"ARX","Accelerant Holdings","$10.67","1,323,280","Yes"
"ASAN","Asana Inc","$7.56","6,754,890","Yes"
"ASC","Ardmore Shipping Corp","$13.58","625,880","Yes"
"ASIX","AdvanSix Inc","$18.65","321,920","Yes"
"ASPI","ASP Isotopes Inc","$5.13","5,243,890","Yes"
"ASST","Strive Inc","$8.33","6,666,790","Yes"
"ASTH","Astrana Health Inc","$18.16","657,490","Yes"
"ASX","ASE Technology Holding Co Ltd","$23.40","11,470,840","Yes"
"ASYS","Amtech Systems Inc","$11.42","651,120","Yes"
"ATEC","Alphatec Holdings Inc","$13.36","2,945,510","Yes"
"ATEN","A10 Networks Inc","$20.70","1,174,880","Yes"
"ATHM","Autohome Inc","$21.00","541,990","Yes"
"AUDC","AudioCodes Ltd","$7.33","263,040","Yes"
"AUPH","Aurinia Pharmaceuticals Inc","$14.23","833,780","Yes"
"AVAH","Aveanna Healthcare Holdings Inc","$7.93","814,090","Yes"
"AVBP","ArriVent BioPharma Inc","$22.46","637,880","Yes"
"AVNS","Avanos Medical Inc","$14.90","591,230","Yes"
"AVO","Mission Produce Inc","$14.37","641,220","Yes"
"AVPT","AvePoint Inc","$10.56","2,344,870","Yes"
"AVR","Anteris Technologies Global Corp","$5.71","1,007,400","Yes"
"AVTR","Avantor Inc","$9.20","17,019,600","Yes"
"AVTX","Avalo Therapeutics Inc","$14.40","412,850","Yes"
"AXTI","AXT Inc","$24.24","8,323,550","Yes"
"AZ","A2Z Cust2Mate Solutions Corp","$6.01","616,570","Yes"
"BANC","Banc of California Inc","$20.00","3,814,940","Yes"
"BAND","Bandwidth Inc","$12.96","267,520","Yes"
"BAX","Baxter International Inc","$19.79","11,526,950","Yes"
"BBAR","Banco BBVA Argentina SA","$16.18","729,840","Yes"
"BBDC","Barings BDC Inc","$9.09","826,090","Yes"
"BBNX","Beta Bionics Inc","$13.94","1,141,250","Yes"
"BBVA","Banco Bilbao Vizcaya Argentaria SA","$22.73","2,469,790","Yes"
"BBWI","Bath & Body Works Inc","$24.07","4,547,520","Yes"
"BCAX","Bicara Therapeutics Inc","$14.21","335,950","Yes"
"BCRX","BioCryst Pharmaceuticals Inc","$6.76","3,923,640","Yes"
"BCSF","Bain Capital Specialty Finance Inc","$13.56","659,180","Yes"
"BCYC","Bicycle Therapeutics PLC","$5.24","549,100","Yes"
"BEKE","Ke Holdings Inc","$17.55","5,684,670","Yes"
"BETA","BETA Technologies Inc","$17.45","1,815,710","Yes"
"BGC","Bgc Group Inc","$9.21","3,160,710","Yes"
"BGS","B&G Foods Inc","$5.23","2,435,460","Yes"
"BHC","Bausch Health Companies Inc","$5.99","1,887,220","Yes"
"BHVN","Biohaven Ltd","$11.36","2,513,960","Yes"
"BIOA","BIOAGE Labs Inc","$19.57","577,740","Yes"
"BKD","Brookdale Senior Living Inc","$16.51","6,915,530","Yes"
"BKKT","Bakkt Holdings Inc","$10.77","1,147,540","Yes"
"BKSY","Blacksky Technology Inc","$21.48","1,674,860","Yes"
"BLCO","Bausch + Lomb Corp","$17.03","329,200","Yes"
"BLFS","BioLife Solutions Inc","$21.58","458,590","Yes"
"BLFY","Blue Foundry Bancorp","$14.13","276,410","Yes"
"BLMN","Bloomin' Brands Inc","$6.25","2,674,630","Yes"
"BMNR","Bitmine Immersion Technologies Inc","$20.96","51,377,360","Yes"
"BNED","Barnes & Noble Education Inc","$7.70","283,030","Yes"
"BNL","Broadstone Net Lease Inc","$19.64","1,746,660","Yes"
"BORR","Borr Drilling Ltd","$5.64","8,598,910","Yes"
"BOX","Box Inc","$23.19","3,275,510","Yes"
"BRBR","Bellring Brands Inc","$17.87","5,399,750","Yes"
"BRCB","Black Rock Coffee Bar Inc","$14.42","610,810","Yes"
"BRSL","Brightstar Lottery PLC","$13.45","1,551,310","Yes"
"BRSP","Brightspire Capital Inc","$5.73","808,660","Yes"
"BRZE","Braze Inc","$17.60","4,416,980","Yes"
"BSBR","Banco Santander Brasil SA","$6.59","1,128,190","Yes"
"BSM","Black Stone Minerals LP","$15.20","365,310","Yes"
"BTDR","Bitdeer Technologies Group","$10.37","5,436,030","Yes"
"BULL","Webull Corp","$5.87","12,178,680","Yes"
"BV","Brightview Holdings Inc","$13.67","831,700","Yes"
"BVS","Bioventus Inc","$8.27","321,340","Yes"
"BW","Babcock & Wilcox Enterprises Inc","$9.75","3,065,400","Yes"
"BWIN","Baldwin Insurance Group Inc","$16.50","1,866,240","Yes"
"BXMT","Blackstone Mortgage Trust Inc","$19.54","1,846,360","Yes"
"BXSL","Blackstone Secured Lending Fund","$24.62","2,816,850","Yes"
"BYRN","Byrna Technologies Inc","$12.87","829,880","Yes"
"BZ","Kanzhun Ltd","$17.32","3,846,280","Yes"
"CADL","Candel Therapeutics Inc","$5.68","598,500","Yes"
