TICKER,NAME,SECTOR,average Volume (10 Day),,market cap,BETA
VNET,VNET Group Inc,Technology,"3,433,550",NASDAQ,$3B (Small),0.02
NOC,NORTHROP GRUMMAN CORP,Industrials,"1,057,630",NYS,$88B (Large),0.04
TAK,Takeda Pharmaceutical Co Ltd,Healthcare,"1,979,410",NYS,$52B (Large),0.05
GANX,Gain Therapeutics Inc,Healthcare,"1,156,460",NASDAQ,$89M (Micro),0.05
KHC,Kraft Heinz Co,Consumer Staples,"13,921,650",NASDAQ,$28B (Mid),0.06
RVPH,Reviva Pharmaceuticals Holdings Inc,Healthcare,"6,478,300",NASDAQ,$40M (Micro),0.07
FRO,Frontline Plc,Energy,"3,417,170",NYS,$6B (Small),0.07
TAL,TAL Education Group,Consumer Disc.,"2,237,990",NYS,$7B (Small),0.07
IQ,iQIYI Inc,Communication,"9,716,220",NASDAQ,$2B (Micro),0.08
ALT,Altimmune Inc,Healthcare,"6,533,490",NASDAQ,$419M (Micro),0.08
OTLK,Outlook Therapeutics Inc,Healthcare,"22,918,850",NASDAQ,$38M (Micro),0.09
NAK,Northern Dynasty Minerals Ltd,Materials,"6,906,520",NYS,$1B (Micro),0.09
AGL,agilon health inc,Healthcare,"6,285,440",NYS,$411M (Micro),0.09
INV,Innventure Inc,Financials,"1,570,360",NASDAQ,$261M (Micro),0.09
LRN,Stride Inc,Consumer Disc.,"1,000,630",NYS,$3B (Small),0.1
RELY,Remitly Global Inc,Technology,"2,642,600",NASDAQ,$3B (Small),0.11
LEGN,Legend Biotech Corp,Healthcare,"2,337,160",NASDAQ,$4B (Small),0.11
UAMY,United States Antimony Corp,Materials,"13,085,470",NYS,$1B (Micro),0.12
SHEL,Shell PLC,Energy,"5,161,670",NYS,$202B (Large),0.15
HTHT,H World Group Ltd,Consumer Discretionary,"1,512,040",NASDAQ,$15B (Mid),0.15
RARE,Ultragenyx Pharmaceutical Inc,Healthcare,"5,830,030",NASDAQ,$2B (Small),0.16
BIIB,Biogen Inc,Healthcare,"1,315,280",NASDAQ,$28B (Mid),0.16
HSY,Hershey Co,Consumer Staples,"1,466,350",NYS,$38B (Mid),0.17
IRWD,Ironwood Pharmaceuticals Inc,Healthcare,"11,808,530",NASDAQ,$660M (Micro),0.18
TOI,Oncology Institute Inc,Healthcare,"1,901,890",NASDAQ,$411M (Micro),0.18
HLN,Haleon PLC,Healthcare,"7,569,970",NYS,$44B (Large),0.19
CRNX,Crinetics Pharmaceuticals Inc,Healthcare,"2,108,540",NASDAQ,$5B (Small),0.2
YMM,Full Truck Alliance Co Ltd,Industrials,"9,540,560",NYS,$11B (Mid),0.22
SJM,J M Smucker Co,Consumer Staples,"1,446,790",NYS,$11B (Mid),0.22
LMT,Lockheed Martin Corp,Industrials,"1,996,970",NYS,$126B (Large),0.23
KURA,Kura Oncology Inc,Healthcare,"1,404,980",NASDAQ,$819M (Micro),0.23
ALL,Allstate Corp,Financials,"1,224,310",NYS,$56B (Large),0.23
GRND,Grindr Inc,Communication Services,"1,151,160",NYS,$2B (Small),0.23
CALM,Cal-Maine Foods Inc,Consumer Staples,"1,625,020",NASDAQ,$4B (Small),0.24
CORT,Corcept Therapeutics Inc,Healthcare,"4,501,300",NASDAQ,$4B (Small),0.25
DG,Dollar General Corp,Consumer Staples,"3,210,170",NYS,$31B (Mid),0.25
BDX,Becton Dickinson and Co,Healthcare,"1,430,560",NYS,$58B (Large),0.25
APLS,Apellis Pharmaceuticals Inc,Healthcare,"2,340,270",NASDAQ,$3B (Small),0.26
SMPL,Simply Good Foods Co,Consumer Staples,"2,278,630",NASDAQ,$2B (Micro),0.26
BMRN,BioMarin Pharmaceutical Inc,Healthcare,"1,798,910",NASDAQ,$11B (Mid),0.26
OVID,Ovid Therapeutics Inc,Healthcare,"1,346,770",NASDAQ,$217M (Micro),0.26
JAZZ,Jazz Pharmaceuticals PLC,Healthcare,"1,184,730",NASDAQ,$10B (Mid),0.26
KMB,Kimberly-Clark Corp,Consumer Staples,"5,007,150",NASDAQ,$32B (Mid),0.27
EVH,Evolent Health Inc,Healthcare,"2,152,720",NYS,$465M (Micro),0.27
LNG,Cheniere Energy Inc,Energy,"1,687,840",NYS,$42B (Large),0.27
EWTX,Edgewise Therapeutics Inc,Healthcare,"1,182,990",NASDAQ,$3B (Small),0.27
CL,Colgate-Palmolive Co,Consumer Staples,"5,627,930",NYS,$66B (Large),0.28
CI,Cigna Group,Healthcare,"1,310,230",NYS,$75B (Large),0.28
MRK,Merck & Co Inc,Healthcare,"11,639,990",NYS,$274B (Large),0.29
IONS,Ionis Pharmaceuticals Inc,Healthcare,"1,815,710",NASDAQ,$13B (Mid),0.29
CME,CME Group Inc,Financials,"1,559,050",NASDAQ,$95B (Large),0.29
