TICKER,NAME,SECTOR,average Volume (10 Day),market cap,BETA,
ITT,ITT Inc,Manufacturing/Construction,"1,000,170",$16B (Mid),1.37,NYS
LRN,Stride Inc,Education,"1,000,630",$3B (Small),0.1,NYS
GTN,Gray Media Inc,Entertainment,"1,000,860",$410M (Micro),0.9,NYS
RJF,Raymond James Financial Inc,Finance,"1,001,160",$33B (Mid),1.02,NYS
ALNY,Alnylam Pharmaceuticals Inc,Healthcare,"1,001,810",$53B (Large),0.35,NASDAQ
HOPE,Hope Bancorp Inc,Finance,"1,001,830",$1B (Micro),0.85,NASDAQ
FFIV,F5 Inc,Technology,"1,003,130",$16B (Mid),1,NASDAQ
MSI,Motorola Solutions Inc,Technology,"1,005,620",$64B (Large),1,NYS
ZIP,Ziprecruiter Inc,Technology,"1,007,400",$273M (Micro),1.1,NYS
HXL,Hexcel Corp,Manufacturing/Construction,"1,007,860",$6B (Small),1.06,NYS
LOGI,Logitech International SA,Technology,"1,009,010",$14B (Mid),1.11,NASDAQ
KOD,Kodiak Sciences Inc,Healthcare,"1,015,150",$2B (Micro),2.64,NASDAQ
PCVX,Vaxcyte Inc,Healthcare,"1,015,810",$6B (Small),1.32,NASDAQ
SXC,SunCoke Energy Inc,Gold/Precious Metals/Materials,"1,016,200",$674M (Micro),0.97,NYS
ANGO,AngioDynamics Inc,Healthcare,"1,017,770",$406M (Micro),0.5,NASDAQ
PSA,Public Storage,Real Estate,"1,018,050",$49B (Large),1.03,NYS
AEHR,Aehr Test Systems,Technology,"1,020,100",$790M (Micro),2.33,NASDAQ
OC,Owens Corning,Manufacturing/Construction,"1,021,050",$10B (Mid),1.35,NYS
TRGP,Targa Resources Corp,Energy/Utilities,"1,022,450",$38B (Mid),0.87,NYS
VIRT,Virtu Financial Inc,Finance,"1,023,170",$5B (Small),0.6,NYS
FUTU,Futu Holdings Ltd,Finance,"1,024,370",$17B (Mid),0.43,NASDAQ
FVRR,Fiverr International Ltd,Technology,"1,026,520",$670M (Micro),1.31,NYS
AISP,Airship AI Holdings Inc,Technology,"1,026,640",$106M (Micro),0.34,NASDAQ
WSM,Williams-Sonoma Inc,Manufacturing/Construction,"1,027,720",$24B (Mid),1.64,NYS
FBP,First BanCorp,Finance,"1,027,890",$3B (Small),0.87,NYS
PRCT,Procept Biorobotics Corp,Healthcare,"1,028,380",$2B (Micro),0.99,NASDAQ
AXSM,Axsome Therapeutics Inc,Healthcare,"1,028,460",$9B (Mid),0.39,NASDAQ
CBRE,CBRE Group Inc,Real Estate,"1,030,520",$49B (Large),1.34,NYS
OUT,OUTFRONT Media Inc,Real Estate,"1,031,680",$4B (Small),1.55,NYS
MCW,Mister Car Wash Inc,Auto/Travel/Shipping,"1,032,180",$2B (Micro),1.47,NASDAQ
PNW,Pinnacle West Capital Corp,Energy/Utilities,"1,034,310",$11B (Mid),0.53,NYS
LTBR,Lightbridge Corp,Energy/Utilities,"1,034,680",$534M (Micro),1.97,NASDAQ
XPO,XPO Inc,Industrials,"1,037,280",$17B (Mid),2.06,NYS
PLTK,Playtika Holding Corp,Entertainment,"1,037,380",$1B (Micro),0.83,NASDAQ
TEX,Terex Corp,Manufacturing/Construction,"1,037,780",$4B (Small),1.68,NYS
SSL,Sasol Ltd,Energy/Utilities,"1,038,420",$4B (Small),0.44,NYS
PLRX,Pliant Therapeutics Inc,Healthcare,"1,041,870",$81M (Micro),1.4,NASDAQ
TGEN,Tecogen Inc,Manufacturing/Construction,"1,044,950",$142M (Micro),1.32,NYS
CDXS,Codexis Inc,Healthcare,"1,045,770",$148M (Micro),2.47,NASDAQ
GWRE,Guidewire Software Inc,Technology,"1,046,210",$16B (Mid),1.06,NYS
FINV,FinVolution Group,Finance,"1,046,840",$1B (Micro),0.44,NYS
SMTC,Semtech Corp,Technology,"1,048,420",$7B (Small),2.02,NASDAQ
QRVO,Qorvo Inc,Technology,"1,048,800",$8B (Small),1.37,NASDAQ
MAA,Mid-America Apartment Communities Inc,Real Estate,"1,049,370",$16B (Mid),0.78,NYS
WIX,Wix.Com Ltd,Technology,"1,049,480",$5B (Small),1.42,NASDAQ
