"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta"
"A","Agilent Technologies Inc","Yes","2,116,120","NYS","$39B (Mid)","1.30"
"AA","Alcoa Corp","Yes","6,073,220","NYS","$13B (Mid)","1.94"
"AAL","American Airlines Group Inc","Yes","59,748,510","NASDAQ","$10B (Mid)","1.22"
"AAPL","Apple Inc","Yes","41,331,730","NASDAQ","$4T (Large)","1.09"
"ABNB","Airbnb Inc","Yes","4,531,500","NASDAQ","$82B (Large)","1.09"
"ACM","AECOM","Yes","1,555,260","NYS","$13B (Mid)","1.08"
"ACN","Accenture PLC","Yes","4,320,280","NYS","$168B (Large)","1.24"
"ADBE","Adobe Inc","Yes","5,596,670","NASDAQ","$149B (Large)","1.51"
"ADI","Analog Devices Inc","Yes","3,714,050","NASDAQ","$134B (Large)","1.02"
"ADSK","Autodesk Inc","Yes","1,648,820","NASDAQ","$64B (Large)","1.46"
"AER","AerCap Holdings NV","Yes","1,505,490","NYS","$25B (Mid)","1.07"
"AFRM","Affirm Holdings Inc","Yes","5,570,420","NASDAQ","$25B (Mid)","3.55"
"AGNC","AGNC Investment Corp","Yes","16,815,700","NASDAQ","$11B (Mid)","1.34"
"ALB","Albemarle Corp","Yes","2,998,480","NYS","$17B (Mid)","1.40"
"ALGN","Align Technology Inc","Yes","1,307,180","NASDAQ","$11B (Mid)","1.81"
"AMAT","Applied Materials Inc","Yes","6,368,160","NASDAQ","$203B (Large)","1.67"
"AMD","Advanced Micro Devices Inc","Yes","29,245,490","NASDAQ","$347B (Large)","1.96"
"AME","AMETEK Inc","Yes","1,549,960","NYS","$47B (Large)","1.04"
"AMKR","Amkor Technology Inc","Yes","3,885,330","NASDAQ","$10B (Mid)","1.98"
"AMZN","Amazon.com Inc","Yes","37,754,950","NASDAQ","$2T (Large)","1.38"
"ANET","Arista Networks Inc","Yes","6,651,990","NYS","$165B (Large)","1.42"
"AOS","A O Smith Corp","Yes","1,305,210","NYS","$9B (Mid)","1.34"
"APG","APi Group Corp","Yes","2,720,850","NYS","$16B (Mid)","1.70"
"APH","Amphenol Corp","Yes","8,018,630","NYS","$166B (Large)","1.22"
"APLD","Applied Digital Corp","Yes","27,787,640","NASDAQ","$8B (Mid)","6.93"
"APO","Apollo Global Management Inc","Yes","3,384,940","NYS","$85B (Large)","1.57"
"APP","Applovin Corp","Yes","3,539,520","NASDAQ","$244B (Large)","2.48"
"APTV","Aptiv PLC","Yes","2,006,080","NYS","$17B (Mid)","1.49"
