"Symbol","Description","Optionable Stocks","Average Volume (10 Day)","Exchange","Market Capitalization","Beta","Short Interest"
"A","Agilent Technologies Inc","Yes","2,116,120","NYS","$39B (Mid)","1.30","1.3%"
"AA","Alcoa Corp","Yes","6,073,220","NYS","$13B (Mid)","1.94","2.6%"
"AAL","American Airlines Group Inc","Yes","59,748,510","NASDAQ","$10B (Mid)","1.22","9.0%"
"AAON","Aaon Inc","Yes","1,050,480","NASDAQ","$6B (Small)","1.10","8.9%"
"ABNB","Airbnb Inc","Yes","4,531,500","NASDAQ","$82B (Large)","1.09","3.0%"
"ACET","Adicet Bio Inc","Yes","3,295,700","NASDAQ","$72M (Micro)","1.63","5.4%"
"ACIU","AC Immune SA","Yes","2,651,870","NASDAQ","$304M (Micro)","1.62","1.6%"
"ACM","AECOM","Yes","1,555,260","NYS","$13B (Mid)","1.08","2.7%"
"ACMR","ACM Research Inc","Yes","1,251,160","NASDAQ","$3B (Small)","1.44","7.0%"
"ACN","Accenture PLC","Yes","4,320,280","NYS","$168B (Large)","1.24","2.3%"
"ACVA","ACV Auctions Inc","Yes","2,939,050","NYS","$1B (Micro)","1.62","6.0%"
"ADBE","Adobe Inc","Yes","5,596,670","NASDAQ","$149B (Large)","1.51","2.9%"
"ADCT","ADC Therapeutics SA","Yes","1,766,570","NYS","$462M (Micro)","1.95","4.7%"
"ADI","Analog Devices Inc","Yes","3,714,050","NASDAQ","$134B (Large)","1.02","2.1%"
"ADPT","Adaptive Biotechnologies Corp","Yes","3,403,970","NASDAQ","$3B (Small)","2.19","6.8%"
"ADSK","Autodesk Inc","Yes","1,648,820","NASDAQ","$64B (Large)","1.46","1.4%"
"ADV","Advantage Solutions Inc","Yes","1,380,720","NASDAQ","$298M (Micro)","2.17","2.2%"
"AER","AerCap Holdings NV","Yes","1,505,490","NYS","$25B (Mid)","1.07","1.1%"
"AFRM","Affirm Holdings Inc","Yes","5,570,420","NASDAQ","$25B (Mid)","3.55","4.2%"
"AGNC","AGNC Investment Corp","Yes","16,815,700","NASDAQ","$11B (Mid)","1.34","5.6%"
"AHCO","Adapthealth Corp","Yes","1,146,060","NASDAQ","$1B (Micro)","1.70","7.1%"
"AIOT","PowerFleet Inc","Yes","1,288,780","NASDAQ","$717M (Micro)","1.33","9.6%"
"AIV","Apartment Investment and Management Co","Yes","1,952,190","NYS","$810M (Micro)","1.38","2.8%"
"AL","Air Lease Corp","Yes","1,821,110","NYS","$7B (Small)","1.16","1.8%"
"ALB","Albemarle Corp","Yes","2,998,480","NYS","$17B (Mid)","1.40","9.2%"
